ID,Session,WindowLength,Shrinkage,Kernel,nClusters,SilhouetteCoefficient,CalinskiHarabaszScore,RiemannianVariance,DaviesBouldinIndex,GeodesicDistanceRatio,RandScoreActivities,RandScoreSessions,RandScoreIds,nActivities
all,all,15,0.01,tyl,9,,3405.8428,"[np.float64(17.959905168527833), np.float64(22.33763845729274), np.float64(20.156449407079844), np.float64(20.703408772157847), np.float64(21.378653722202852), np.float64(19.715335146835603), np.float64(14.515399420579968), np.float64(17.781300497723723), np.float64(18.733087846087837)]",20.07867868889207,1.8297241181236854,0.00011833386185085591,0.006434378374722594,,1809
all,all,15,0.01,corr,3,,12576.004,"[np.float64(16.743191399894993), np.float64(16.821433839396207), np.float64(16.543118060776656)]",18.70882811707429,2.076768692570404,0.00044831039803098924,0.0015542143220221986,,1809
all,all,15,0.01,corr,4,,9470.674,"[np.float64(17.51605466597879), np.float64(14.021349593624608), np.float64(19.26453838863879), np.float64(16.397895018673882)]",18.007367183472738,1.857662133700728,0.001255189246859506,0.0036474897523500445,,1809
all,all,15,0.01,corr,5,,8902.426,"[np.float64(15.337072457236184), np.float64(15.7531427379924), np.float64(15.177362795541379), np.float64(16.763386544941447), np.float64(17.40366023562931)]",17.252388172728356,1.854089321981378,0.0005051056455381412,0.0035118551390132383,,1809
all,all,15,0.01,corr,6,,7547.8823,"[np.float64(18.017854059651967), np.float64(16.511614750334893), np.float64(16.31840200546674), np.float64(12.057846969253854), np.float64(16.22672262421027), np.float64(18.488307169130678)]",16.677455655636876,1.6545772921109125,0.0007732359505352997,0.0046150768097257995,,1809
all,all,15,0.01,corr,7,,6671.0933,"[np.float64(15.897725464542305), np.float64(12.134280786192623), np.float64(17.65030690137732), np.float64(14.711893238359714), np.float64(18.250104536744377), np.float64(15.764888701321903), np.float64(17.943109974132653)]",15.885507291744288,1.6259948761063705,0.0005988391301513009,0.004532020155631994,,1809
all,all,15,0.01,corr,8,,5898.84,"[np.float64(11.687309580923475), np.float64(14.913920405645362), np.float64(16.413102103955584), np.float64(16.743697226327654), np.float64(17.688462381753013), np.float64(18.760971086681888), np.float64(15.884402493835333), np.float64(15.495540291702367)]",15.909785141245251,1.58315602674576,0.0007527507772080409,0.004707446879198305,,1809
all,all,15,0.01,corr,9,,6059.158,"[np.float64(11.647498888527615), np.float64(19.521020546592485), np.float64(17.817069028612988), np.float64(15.32163217835626), np.float64(15.697087980100845), np.float64(14.460097800584245), np.float64(14.74801527439592), np.float64(15.075998000824645), np.float64(18.016752429491245)]",16.367186788299048,1.5642735465309971,0.000578117214091274,0.004943509333708679,,1809
all,all,15,0.1,cov,3,,9450.074,"[np.float64(10.48554888258676), np.float64(9.866733580586988), np.float64(10.583857667721748)]",11.94689630916941,1.679508001028665,0.00174596351130108,0.0015434780972719817,,1809
all,all,15,0.1,cov,4,,7620.395,"[np.float64(9.495165487102405), np.float64(9.77790990930401), np.float64(10.217897305389076), np.float64(10.817006593907392)]",11.768216313091218,1.5620710670341797,0.002528005554910174,0.0020829262609544006,,1809
all,all,15,0.1,cov,5,,6416.3755,"[np.float64(9.460272225327477), np.float64(9.382294007942432), np.float64(9.999856609287066), np.float64(10.745282280966414), np.float64(10.123401711106647)]",12.216739265537681,1.4986205822339045,0.0026190271054589366,0.0023250350782500254,,1809
all,all,15,0.1,cov,6,,6073.081,"[np.float64(9.985602593429709), np.float64(9.270739826267917), np.float64(10.116490509206832), np.float64(9.304490626301217), np.float64(10.785777080082024), np.float64(9.347731632036913)]",12.338860679733685,1.4770927343121074,0.0020557782266146987,0.002658844033209342,,1809
all,all,15,0.1,cov,7,,5409.086,"[np.float64(10.194902720902869), np.float64(9.257401547330552), np.float64(10.558074890699952), np.float64(9.934882381024496), np.float64(9.363396791733248), np.float64(9.271168690663501), np.float64(9.037702722180313)]",12.415663697394399,1.5239642881277742,0.0010730626592468176,0.0035321953900966188,,1809
all,all,15,0.1,cov,8,,4733.9556,"[np.float64(9.103095540406004), np.float64(9.353254203891222), np.float64(9.703603360233734), np.float64(10.018675775266939), np.float64(10.753595395015946), np.float64(9.307152311310322), np.float64(8.779977266786947), np.float64(9.121270451503761)]",12.553983725679679,1.4959567264920104,0.0008517348179828523,0.004024702784230014,,1809
all,all,15,0.1,cov,9,,4325.802,"[np.float64(8.971273187372134), np.float64(10.62832704568001), np.float64(9.727459104168153), np.float64(9.249398459458053), np.float64(8.91374078635609), np.float64(9.12602735382864), np.float64(9.97366896490373), np.float64(9.168545934039479), np.float64(9.633335237424307)]",12.472027280584072,1.4715791881881761,0.0011381619944862184,0.0038269171339870823,,1809
all,all,15,0.1,rbf,3,,25288.438,"[np.float64(2.468622742239157), np.float64(3.90069971045934), np.float64(3.061188712979353)]",6.51359834226333,1.62067034273397,0.00036359081328600436,0.0013896431976756858,,1809
all,all,15,0.1,rbf,4,,20011.748,"[np.float64(3.884311563018746), np.float64(2.828795437481068), np.float64(3.099245275811374), np.float64(2.394776900155215)]",5.868171693271601,1.4793402101934567,0.000407515142951939,0.0014530981602032807,,1809
all,all,15,0.1,rbf,5,,15693.823,"[np.float64(2.996464303431125), np.float64(3.8035862905723423), np.float64(2.9397258355112785), np.float64(2.88513951918856), np.float64(2.2800780305551616)]",5.709922647082509,1.4208306032018285,0.0010335759499020436,0.0017806658951955595,,1809
all,all,15,0.1,rbf,6,,15050.181,"[np.float64(2.880331123164472), np.float64(2.176038290880347), np.float64(3.05859831057969), np.float64(2.7332220677595735), np.float64(2.609007775263189), np.float64(4.041611679384156)]",6.002426972159349,1.3821313839110982,0.0010950379256526664,0.0014059856572870648,,1809
all,all,15,0.1,rbf,7,,13492.658,"[np.float64(3.1414094496076426), np.float64(2.66313794561249), np.float64(2.85281563998945), np.float64(2.8591414838604727), np.float64(2.631860526973043), np.float64(2.07517235245076), np.float64(4.070673356505145)]",5.631475755468905,1.3245479254763797,0.002178212557294026,0.0016990315976405318,,1809
all,all,15,0.1,rbf,8,,11762.148,"[np.float64(2.598627443525392), np.float64(2.6433704505148645), np.float64(2.7496754413033107), np.float64(3.954296647577419), np.float64(2.8237239152010787), np.float64(3.377300337562034), np.float64(1.9697686508439802), np.float64(2.5473688706993087)]",5.4610513287096945,1.2878780628068272,0.0006310365477686175,0.002372362909572691,,1809
all,all,15,0.1,rbf,9,,11129.899,"[np.float64(2.704744778938243), np.float64(2.8877505470973714), np.float64(2.7449930455052005), np.float64(2.819566455273796), np.float64(2.72133680000738), np.float64(2.4582777950714454), np.float64(2.9614072134127083), np.float64(4.1020380666767995), np.float64(1.9079672638771479)]",5.707283278940626,1.2829068863681203,0.0011293636503807841,0.00210312415677252,,1809
all,all,15,0.1,lwf,3,,9280.615,"[np.float64(7.935477130403167), np.float64(9.282577424855745), np.float64(8.226867943815215)]",10.861830862119518,1.4923838614668203,0.0020700430355291267,0.0019640629155305432,,1809
all,all,15,0.1,lwf,4,,7956.3154,"[np.float64(8.9354462271795), np.float64(7.8494287949481105), np.float64(7.7777793063768295), np.float64(8.427397589573912)]",10.120943397172201,1.4091029596937819,0.002873073080404322,0.0019759597028302725,,1809
all,all,15,0.1,lwf,5,,6878.482,"[np.float64(7.527272492101382), np.float64(8.794466668607178), np.float64(8.17170244204259), np.float64(7.615605928886205), np.float64(8.239563527847327)]",10.50400441916712,1.4422701719099944,0.001749633905166126,0.002393063174987942,,1809
all,all,15,0.1,lwf,6,,5999.414,"[np.float64(7.375659192014039), np.float64(7.873731528971421), np.float64(9.178063662041312), np.float64(8.122443169737975), np.float64(7.532446043026598), np.float64(8.087639265075246)]",11.488302589490237,1.3684382261512609,0.001366269644463603,0.00261760999381789,,1809
all,all,15,0.1,lwf,7,,5481.8267,"[np.float64(7.693392684728124), np.float64(8.447734916815767), np.float64(7.238899383689323), np.float64(7.288039553115051), np.float64(8.730031231955248), np.float64(7.7451889579875495), np.float64(8.073230024701854)]",11.147322426878345,1.3684988057694525,0.001562209114224185,0.0026708471861410813,,1809
all,all,15,0.1,lwf,8,,4858.223,"[np.float64(7.929404592626321), np.float64(7.963262401954888), np.float64(7.747810010164811), np.float64(8.919102088536812), np.float64(7.368777718343893), np.float64(7.241027394369217), np.float64(8.11163986203812), np.float64(7.31179284545961)]",11.022136852265145,1.4007536517267725,0.0009777454196956117,0.0029914086636383145,,1809
all,all,15,0.1,lwf,9,,4405.0723,"[np.float64(7.1036852516602345), np.float64(7.727808237290599), np.float64(7.22065618425348), np.float64(8.062193394705032), np.float64(8.699522203763726), np.float64(8.416029022066176), np.float64(7.584171026501258), np.float64(7.685617130814049), np.float64(7.592219338885574)]",11.49903405740088,1.37928905436451,0.0010410498104804632,0.0033035063097428216,,1809
all,all,15,0.1,tyl,3,,10784.722,"[np.float64(9.967257952489218), np.float64(10.02723446318612), np.float64(10.523542137902439)]",15.159901690749843,2.2123578009244467,0.0013510651874346952,0.0025857070219383787,,1809
all,all,15,0.1,tyl,4,,8920.552,"[np.float64(10.464112390258038), np.float64(9.8696107737148), np.float64(9.58252537338013), np.float64(10.049243016836002)]",15.171794864705275,2.141565495626425,0.0007989204370380224,0.003142794777584416,,1809
